# BTCUSDT 1h  source=file-cache  n=8760
# from=2025-07-31T21:00:00.000Z  to=2026-07-31T20:00:00.000Z
timestamp	date	open	high	low	close	volume
1778688000000	2026-05-13T16:00:00.000Z	78827.21	79222.22	78754.65	79108.39	1522.11383
1778691600000	2026-05-13T17:00:00.000Z	79108.39	79556.36	79100	79514.97	611.40519
1778695200000	2026-05-13T18:00:00.000Z	79514.97	79800	79514.97	79598.15	747.58594
1778698800000	2026-05-13T19:00:00.000Z	79598.15	79646.29	79400	79642.41	463.49581
1778702400000	2026-05-13T20:00:00.000Z	79642.41	79760	79622.7	79698.95	225.22286
1778706000000	2026-05-13T21:00:00.000Z	79698.95	79705.73	79340.39	79398.54	418.00056
1778709600000	2026-05-13T22:00:00.000Z	79398.54	79470	79228	79428.46	338.28664
1778713200000	2026-05-13T23:00:00.000Z	79428.46	79499.01	79233.83	79313.61	497.51837
1778716800000	2026-05-14T00:00:00.000Z	79313.61	79681.73	79308	79580	443.66772
1778720400000	2026-05-14T01:00:00.000Z	79580	79681.73	79409.42	79604.6	369.48629
1778724000000	2026-05-14T02:00:00.000Z	79604.61	79676.11	79222.22	79370.24	684.03959
1778727600000	2026-05-14T03:00:00.000Z	79370.24	79460	78922	79044.85	712.36112
1778731200000	2026-05-14T04:00:00.000Z	79044.86	79474.41	78982.06	79451.63	437.35487
1778734800000	2026-05-14T05:00:00.000Z	79451.62	79998	79359.49	79809.16	850.16622
1778738400000	2026-05-14T06:00:00.000Z	79809.15	79953.35	79769.12	79804.71	301.13354
1778742000000	2026-05-14T07:00:00.000Z	79804.72	79937.59	79702.05	79745.98	480.32483
1778745600000	2026-05-14T08:00:00.000Z	79745.99	79936.98	79644.44	79821.56	652.77033
1778749200000	2026-05-14T09:00:00.000Z	79821.55	79905.99	79569.81	79635.52	445.75367
1778752800000	2026-05-14T10:00:00.000Z	79635.53	79756.98	79409.42	79570.01	384.95969
1778756400000	2026-05-14T11:00:00.000Z	79570.01	79600	79234	79258.27	362.97846
1778760000000	2026-05-14T12:00:00.000Z	79258.27	79775.02	79230.31	79767.11	526.41242
1778763600000	2026-05-14T13:00:00.000Z	79767.1	80059.71	79670.88	79701.73	1000.54213
1778767200000	2026-05-14T14:00:00.000Z	79701.73	81020	79561.52	80964.85	1882.78042
1778770800000	2026-05-14T15:00:00.000Z	80964.84	81332.23	80816.08	81301.23	2292.36231
1778774400000	2026-05-14T16:00:00.000Z	81301.22	81904.44	81080.25	81888.4	2732.81932
1778778000000	2026-05-14T17:00:00.000Z	81888.4	82048.13	81271	81668.48	1967.47911
1778781600000	2026-05-14T18:00:00.000Z	81668.49	81949.15	81440.38	81581.99	1012.7972
1778785200000	2026-05-14T19:00:00.000Z	81582	81718.73	81330.12	81419.74	566.84044
1778788800000	2026-05-14T20:00:00.000Z	81419.75	81590.19	81166.22	81412.04	471.62836
1778792400000	2026-05-14T21:00:00.000Z	81412.05	81526.08	81268.38	81396.61	292.07185
1778796000000	2026-05-14T22:00:00.000Z	81396.61	81559.71	81335.48	81456	322.84736
1778799600000	2026-05-14T23:00:00.000Z	81456	81456	81059.93	81089.99	534.29082
1778803200000	2026-05-15T00:00:00.000Z	81090	81664.45	81068.52	81518.67	578.5498
1778806800000	2026-05-15T01:00:00.000Z	81518.66	81612.73	81106.2	81131.01	538.82284
1778810400000	2026-05-15T02:00:00.000Z	81131	81350	80750	81299.14	829.4016
1778814000000	2026-05-15T03:00:00.000Z	81299.14	81340.81	80930.82	81059.15	506.95135
1778817600000	2026-05-15T04:00:00.000Z	81059.15	81100	80709.09	80724.71	367.57246
1778821200000	2026-05-15T05:00:00.000Z	80724.71	80882.45	80314	80360.01	1029.21412
1778824800000	2026-05-15T06:00:00.000Z	80360.01	80644.5	80314.01	80580	815.53271
1778828400000	2026-05-15T07:00:00.000Z	80580	81003.37	80559.88	80814.88	878.78211
1778832000000	2026-05-15T08:00:00.000Z	80814.88	80822.95	80415.84	80638	538.63644
1778835600000	2026-05-15T09:00:00.000Z	80638	80670.51	80369	80489.8	471.66166
1778839200000	2026-05-15T10:00:00.000Z	80489.81	80776.33	80407.6	80716.23	444.96934
1778842800000	2026-05-15T11:00:00.000Z	80716.22	80750.56	80590.08	80628.53	250.99223
1778846400000	2026-05-15T12:00:00.000Z	80628.52	80635.44	80340.83	80385.11	535.00082
1778850000000	2026-05-15T13:00:00.000Z	80385.1	80385.11	78698.69	78758.59	3101.88518
1778853600000	2026-05-15T14:00:00.000Z	78758.59	79353.32	78659	79150.37	1965.21031
1778857200000	2026-05-15T15:00:00.000Z	79150.36	79369.36	79013.81	79150.27	606.4731
1778860800000	2026-05-15T16:00:00.000Z	79150.26	79382.3	79131.01	79294.31	514.78679
1778864400000	2026-05-15T17:00:00.000Z	79294.31	79504.83	79224	79460	478.80422
1778868000000	2026-05-15T18:00:00.000Z	79460	79561.94	79170.47	79284	544.01093
1778871600000	2026-05-15T19:00:00.000Z	79284.01	79290	79051	79146.5	421.75884
1778875200000	2026-05-15T20:00:00.000Z	79146.5	79217.07	79000	79123.12	224.44355
1778878800000	2026-05-15T21:00:00.000Z	79123.13	79200	78911.42	78973.5	682.32127
1778882400000	2026-05-15T22:00:00.000Z	78973.5	79145.44	78973.49	79107.38	347.86808
1778886000000	2026-05-15T23:00:00.000Z	79107.38	79161.86	79077.96	79113.21	677.62104
1778889600000	2026-05-16T00:00:00.000Z	79113.2	79227.77	79075.09	79111.92	314.0124
1778893200000	2026-05-16T01:00:00.000Z	79111.92	79186.05	79010	79168	357.20294
1778896800000	2026-05-16T02:00:00.000Z	79168	79211.77	79080.1	79155.54	208.30505
1778900400000	2026-05-16T03:00:00.000Z	79155.55	79187.71	79059.77	79083.18	368.66241
1778904000000	2026-05-16T04:00:00.000Z	79083.19	79129.71	78860	79035.26	321.76822
1778907600000	2026-05-16T05:00:00.000Z	79035.25	79039.49	78933.63	79027.37	183.05543
1778911200000	2026-05-16T06:00:00.000Z	79027.36	79047.94	78459.87	78648	632.26156
1778914800000	2026-05-16T07:00:00.000Z	78648	78651.63	78066	78369.77	1267.74437
1778918400000	2026-05-16T08:00:00.000Z	78369.78	78530.52	78334.21	78426.56	379.04319
1778922000000	2026-05-16T09:00:00.000Z	78426.55	78440.81	77906.1	78083.48	1104.4311
1778925600000	2026-05-16T10:00:00.000Z	78083.47	78101.43	77640	77960	1759.70594
1778929200000	2026-05-16T11:00:00.000Z	77959.99	78193.88	77959.99	78081.71	602.9198
1778932800000	2026-05-16T12:00:00.000Z	78080.46	78133.38	77918.62	78007.23	791.53177
1778936400000	2026-05-16T13:00:00.000Z	78007.24	78014.6	77833.4	78014.6	830.86287
1778940000000	2026-05-16T14:00:00.000Z	78014.6	78346	77895.2	78130.55	729.04785
1778943600000	2026-05-16T15:00:00.000Z	78130.55	78285	78078.22	78238.67	332.91477
1778947200000	2026-05-16T16:00:00.000Z	78238.68	78364.65	78119.72	78205.96	328.10255
1778950800000	2026-05-16T17:00:00.000Z	78205.96	78320.41	78199	78201.5	350.20669
1778954400000	2026-05-16T18:00:00.000Z	78201.5	78327.75	78142.99	78229.81	310.63405
1778958000000	2026-05-16T19:00:00.000Z	78229.82	78314.69	78204.22	78259.66	271.10252
1778961600000	2026-05-16T20:00:00.000Z	78259.67	78318.94	78201.42	78261	194.3429
1778965200000	2026-05-16T21:00:00.000Z	78261	78308.33	78206.85	78265.73	237.27188
1778968800000	2026-05-16T22:00:00.000Z	78265.73	78279.28	78171.02	78186.25	128.79242
1778972400000	2026-05-16T23:00:00.000Z	78186.25	78267.46	78125.32	78148.05	128.93924
1778976000000	2026-05-17T00:00:00.000Z	78148.05	78243.19	77812	77945.85	311.59646
1778979600000	2026-05-17T01:00:00.000Z	77945.85	78114	77721.19	77725.71	516.53667
1778983200000	2026-05-17T02:00:00.000Z	77725.72	77938	77725.71	77895.51	256.64293
1778986800000	2026-05-17T03:00:00.000Z	77895.5	78079.3	77888	78028.88	200.15322
1778990400000	2026-05-17T04:00:00.000Z	78028.88	78203.93	78003.35	78158.09	375.99093
1778994000000	2026-05-17T05:00:00.000Z	78158.08	78323.96	78102.42	78121.41	258.98839
1778997600000	2026-05-17T06:00:00.000Z	78121.41	78204.01	78017	78104.8	136.86954
1779001200000	2026-05-17T07:00:00.000Z	78104.79	78208.69	78053.79	78180.01	180.24659
1779004800000	2026-05-17T08:00:00.000Z	78180	78200.91	78033.01	78089.8	117.37418
1779008400000	2026-05-17T09:00:00.000Z	78089.8	78293.97	78073.52	78249.33	196.43485
1779012000000	2026-05-17T10:00:00.000Z	78249.33	78599.99	78249.03	78465.99	564.92985
1779015600000	2026-05-17T11:00:00.000Z	78465.99	78473.82	78289	78415.99	257.4445
1779019200000	2026-05-17T12:00:00.000Z	78415.99	78550	78333.8	78364.83	254.43689
1779022800000	2026-05-17T13:00:00.000Z	78364.83	78364.83	78173.15	78202.91	260.27625
1779026400000	2026-05-17T14:00:00.000Z	78202.91	78217.33	77850	78051.51	397.56893
1779030000000	2026-05-17T15:00:00.000Z	78051.51	78119.42	77920.76	78051.41	203.63392
1779033600000	2026-05-17T16:00:00.000Z	78051.42	78193.66	78025.23	78034.36	142.87987
1779037200000	2026-05-17T17:00:00.000Z	78034.37	78092.44	77856.69	78089.98	296.4389
1779040800000	2026-05-17T18:00:00.000Z	78089.99	78271.59	78014.33	78268.05	172.43416
1779044400000	2026-05-17T19:00:00.000Z	78268.04	78468.46	78209.96	78415.3	225.32283
1779048000000	2026-05-17T20:00:00.000Z	78415.29	78435.32	78248.8	78277.36	205.39109
1779051600000	2026-05-17T21:00:00.000Z	78277.36	78485.36	78243.5	78405.72	293.90051
1779055200000	2026-05-17T22:00:00.000Z	78405.72	78414.16	77830	77997.24	585.78673
1779058800000	2026-05-17T23:00:00.000Z	77997.24	78008.18	76735.16	77457.67	2031.42401
1779062400000	2026-05-18T00:00:00.000Z	77457.67	77477.99	76916.6	77209.95	1062.83033
1779066000000	2026-05-18T01:00:00.000Z	77209.95	77291.54	76744.95	77109.22	771.47833
1779069600000	2026-05-18T02:00:00.000Z	77109.21	77222.03	76707.61	76835.41	544.67309
1779073200000	2026-05-18T03:00:00.000Z	76835.41	77030.42	76817.14	76924.65	509.0298
1779076800000	2026-05-18T04:00:00.000Z	76924.66	77069.77	76772.01	77038.49	354.48166
1779080400000	2026-05-18T05:00:00.000Z	77038.49	77080.93	76884.33	76931.4	586.83852
1779084000000	2026-05-18T06:00:00.000Z	76931.4	76967.8	76583.33	76912.52	621.71728
1779087600000	2026-05-18T07:00:00.000Z	76912.53	77089.29	76771.53	77073.69	1139.6298
1779091200000	2026-05-18T08:00:00.000Z	77073.69	77181.88	76890.34	77040.42	562.21651
1779094800000	2026-05-18T09:00:00.000Z	77040.43	77048.14	76877.17	76933.16	365.74952
